Index,Cluster,Sub-cluster,Label
3678.0,Linear,Linear_1,Linear_Growth
3679.0,Linear,Linear_1,Linear_Growth
3680.0,3,3_1,Negative_Exponential_Growth
3681.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
3682.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
3683.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3684.0,Linear,Linear_0,Linear_Growth
3685.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3686.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
3687.0,1,1_0,Negative_Exponential_Growth
3688.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
3689.0,2,2_0,Positive_Exponential_Growth
3690.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
3691.0,3,3_0,S-shape_Growth
3692.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3693.0,2,2_0,Positive_Exponential_Growth
3694.0,Cyclic,Cyclic_Down-Trend_Indeterminate,Oscillation
3695.0,3,3_0,S-shape_Growth
